Ticket_ID,Subject,Description,Category,Priority,Sentiment,Timestamp
3000,glitch in app,Product ratings are showing as 0 stars for all items on the category page even though individual product pages show the correct ratings.,Bug Report,High,Negative,2025-06-14
3001,account issue,My display name is showing garbled characters after I tried to use my name in a regional language. Please help me fix this.,Account Management,Medium,Neutral,2025-06-08
3002,product suggestion,A mobile barcode scanner to look up products would be a game-changer for in-store price comparison. Please consider adding this.,Feature Request,Medium,Negative,2025-08-11
3003,enhancement request,A mobile barcode scanner to look up products would be a game-changer for in-store price comparison. Please consider adding this.,Feature Request,Medium,Negative,2026-02-23
3004,Export data to Excel,It would be very helpful to have a button to export reports and analytics data directly to Excel or CSV format for offline analysis.,Feature Request,Low,Positive,2025-12-04
3005,improvement idea,It would be helpful to have a 'Reorder' button on past orders so I can quickly repurchase the same items without searching again.,Feature Request,Low,Positive,2025-10-19
3006,invoice error,I see a charge labelled 'PRO_UPGRADE' on my statement but I never upgraded my plan. Please investigate this unauthorized charge.,Billing Inquiry,High,Negative,2026-01-21
3007,new feature idea,An offline mode where I can browse my saved items and drafts without internet would be very useful when I'm travelling.,Feature Request,High,Negative,2025-02-21
3008,improvement idea,A mobile barcode scanner to look up products would be a game-changer for in-store price comparison. Please consider adding this.,Feature Request,Medium,Positive,2025-09-03
3009,please add this,Please consider adding a wishlist feature that I can share with family for gifting occasions. Many customers would find this useful.,Feature Request,High,Negative,2025-07-06
3010,refund request,I see a charge labelled 'PRO_UPGRADE' on my statement but I never upgraded my plan. Please investigate this unauthorized charge.,Billing Inquiry,High,Negative,2026-02-07
3011,payment problem,My promotional discount was supposed to apply for 3 months but it stopped after the first month. The original offer was for 3 months.,Billing Inquiry,Medium,Neutral,2025-01-28
3012,feature broken,On my tablet the layout is completely broken — all the navigation buttons are overlapping each other. Works fine on my phone and desktop.,Technical Issue,Medium,Neutral,2025-06-04
3013,enhancement request,It would be helpful to have a 'Reorder' button on past orders so I can quickly repurchase the same items without searching again.,Feature Request,Medium,Positive,2025-12-27
